action_name,standard_type,frame_index,sequence,Nose_x,Right Eye_x,Left Eye_x,Right Ear_x,Left Ear_x,Right Shoulder_x,Left Shoulder_x,Right Elbow_x,Left Elbow_x,Right Wrist_x,Left Wrist_x,Right Hip_x,Left Hip_x,Right Knee_x,Left Knee_x,Right Ankle_x,Left Ankle_x,Nose_y,Right Eye_y,Left Eye_y,Right Ear_y,Left Ear_y,Right Shoulder_y,Left Shoulder_y,Right Elbow_y,Left Elbow_y,Right Wrist_y,Left Wrist_y,Right Hip_y,Left Hip_y,Right Knee_y,Left Knee_y,Right Ankle_y,Left Ankle_y
Dumbbell Flat Bench Press,nonstandard01,0,0,0.525608788,0.598599202,0.485132515,0.680254179,0.411172802,0.791399632,0.215395994,1,0.028248174,0.901846619,0.143754851,0.687278247,0.266706224,0.900234386,0.07840417,0.857257397,0,0.975743535,0.987667841,1,0.935177311,0.966871902,0.80920035,0.833941478,0.742261528,0.772124502,0.871600034,0.91130453,0.501701037,0.508579373,0.26164819,0.255343507,0.036935213,0
Dumbbell Flat Bench Press,nonstandard01,2,0,0.526667508,0.600830532,0.486696112,0.682707999,0.412948554,0.7917398,0.214341222,1,0.021676132,0.911269779,0.132286404,0.690274535,0.268835618,0.903420307,0.076936008,0.858573966,0,0.97591606,0.987125882,1,0.933279602,0.966263061,0.808181876,0.83275686,0.745493182,0.774177759,0.876326039,0.920597147,0.502435842,0.508988298,0.261404714,0.255176293,0.036692752,0
Dumbbell Flat Bench Press,nonstandard01,4,0,0.520556475,0.59555119,0.482698211,0.679659074,0.414518575,0.789198998,0.219683493,1,0.027329751,0.911009993,0.132572487,0.683752995,0.268082515,0.897464871,0.078454034,0.85236473,0,0.976280229,0.98651622,1,0.931094987,0.965361854,0.805934766,0.832757593,0.747883525,0.782034593,0.876425853,0.924035384,0.501266957,0.509208489,0.259804085,0.255129859,0.035943609,0
Dumbbell Flat Bench Press,nonstandard01,15,1,0.531031677,0.59830671,0.498048131,0.67957245,0.440883813,0.801586606,0.229301905,1,0,0.837374276,0.140233878,0.690281589,0.277603997,0.871117756,0.086856163,0.827189583,0.03162879,0.980311586,0.990182656,1,0.94326126,0.969870885,0.829947493,0.860152628,0.777767087,0.836892727,0.918033777,0.958946395,0.513359651,0.520393072,0.274009563,0.251075667,0.069510019,0
Dumbbell Flat Bench Press,nonstandard01,17,1,0.531413995,0.604256075,0.498172645,0.681931481,0.431039404,0.797941147,0.216856562,1,0.031072019,0.838488634,0.184636687,0.691953466,0.266020552,0.911970139,0.075079876,0.85816666,0,0.975598636,0.985467643,1,0.935135863,0.97242855,0.819401201,0.847461495,0.780296287,0.811264539,0.920150512,0.949701322,0.498074102,0.506768747,0.260159303,0.25575627,0.035692185,0
Dumbbell Flat Bench Press,nonstandard01,19,1,0.529350792,0.600833828,0.499868001,0.684985871,0.445225437,0.799003268,0.224562962,1,0,0.857172631,0.196174116,0.693204419,0.279056296,0.876802199,0.08167322,0.821877825,0.030827209,0.979717972,0.987649137,1,0.938252724,0.971749881,0.827807069,0.861547277,0.788406586,0.847656716,0.922671671,0.974464698,0.514036138,0.521040545,0.274407375,0.249984145,0.070889314,0
Dumbbell Flat Bench Press,nonstandard01,30,2,0.53232162,0.603154148,0.496166246,0.689014401,0.439299666,0.809176456,0.241674459,1,0.030752713,0.854566795,0.203858987,0.703167395,0.287182647,0.927393306,0.108370708,0.851044553,0,0.965180652,0.974027526,0.985672357,0.924370149,0.955009222,0.815121096,0.846543376,0.79377885,0.851851426,0.934391926,1,0.502446985,0.510527874,0.259016329,0.246055397,0.047676946,0
Dumbbell Flat Bench Press,nonstandard01,32,2,0.527677611,0.601807946,0.49132488,0.693597176,0.435573471,0.812061681,0.241107168,1,0.034810339,0.861638933,0.20189882,0.706524781,0.287114197,0.935084583,0.107086564,0.855317146,0,0.956806939,0.964716923,0.976940112,0.913144214,0.94490611,0.806122925,0.837496072,0.791721158,0.849099637,0.931611064,1,0.498074706,0.506328377,0.255597873,0.243811153,0.046407335,0
Dumbbell Flat Bench Press,nonstandard01,34,2,0.528610574,0.601434141,0.491844686,0.690834708,0.434788593,0.80936361,0.242115946,1,0.038307682,0.859066044,0.201068876,0.702505671,0.285695831,0.929004849,0.106574491,0.853225674,0,0.952806523,0.961172549,0.973104311,0.911075396,0.94214867,0.804537514,0.836592991,0.791913713,0.850908551,0.936128198,1,0.494407927,0.503299506,0.25450186,0.244094323,0.04454462,0
Dumbbell Flat Bench Press,nonstandard01,45,3,0.525956179,0.598112554,0.492475656,0.686570271,0.439997619,0.807992934,0.242061035,1,0.037600184,0.843403671,0.218340008,0.700923067,0.285542833,0.924398572,0.103579296,0.847187252,0,0.960161159,0.967957244,0.980448008,0.917225188,0.949922307,0.810886138,0.843654456,0.797296033,0.855773485,0.939690767,1,0.498870109,0.507800298,0.257705924,0.244816842,0.049352813,0
